developer,release_year,total_items,free_items,percentage_free
Exciting Game,2017,3,0,0.00%
ExclexGame,2017,5,0,0.00%
Exe Create Inc.,2016,4,0,0.00%
Exe Create Inc.,2017,12,0,0.00%
Exe Games Inc.,2012,2,0,0.00%
Exe Games Inc.,2014,2,0,0.00%
Exe Games Inc.,2015,4,0,0.00%
Exkee,2010,1,0,0.00%
Exkee,2014,4,0,0.00%
Exodus Software,2017,3,0,0.00%
Exor Studios,2012,6,0,0.00%
Exor Studios,2013,6,0,0.00%
Exor Studios,2014,3,0,0.00%
Exordium Games,2015,4,0,0.00%
Exordium Games,2016,6,0,0.00%
Exordium Games,2017,4,0,0.00%
Exozet,2017,1,0,0.00%
Exozet Games,2017,2,0,0.00%
Expansive Worlds,2017,24,0,0.00%
"Expansive Worlds,Avalanche Studios",2014,20,0,0.00%
"Expansive Worlds,Avalanche Studios",2015,3,0,0.00%
"Expansive Worlds,Avalanche Studios",2017,20,0,0.00%
Expect Studio,2017,3,0,0.00%
ExperaGameStudio,2016,2,0,0.00%
ExperaGameStudio,2017,8,0,0.00%
Experience Inc.,2016,1,0,0.00%
Experimental Gamer Studios,2014,2,0,0.00%
Experimental Gamer Studios,2015,2,0,0.00%
Experimental Gamer Studios,2017,2,0,0.00%
Exploding Tuba Studios,2017,3,0,0.00%
Explosive LLC,2016,1,0,0.00%
Expresso Studios,Unavailable data,2,0,0.00%
Exquisite Games,2016,12,0,0.00%
Extarzz Team,Unavailable data,6,0,0.00%
Extend Mode,2016,3,0,0.00%
Extend Studio,2011,4,0,0.00%
Extend Studio,2012,2,0,0.00%
Extend Studio,2014,5,0,0.00%
Extent5,Unavailable data,2,0,0.00%
ExtinctionArts,2017,4,0,0.00%
Extreme Developers,2016,4,0,0.00%
Extreme Developers,2017,3,0,0.00%
Extrokold Games,2015,2,0,0.00%
EyeSpyda Games,2015,2,0,0.00%
Eyebrow Interactive,2012,1,0,0.00%
Eyebrow Interactive,2017,2,0,0.00%
Eyedentity Games Inc.,2012,4,0,0.00%
Eyemobi Ltd.,2016,1,0,0.00%
Eyzi,2015,6,0,0.00%
Eyzi,2017,2,0,0.00%
Ezalbot,2017,2,0,0.00%
Ezekiel Rage,2017,2,0,0.00%
Ezzat Studios,2015,5,0,0.00%
"F.U.U.M. Co., Ltd.",2017,4,0,0.00%
FAKT Software Gmbh,2014,2,0,0.00%
"FAT BOMB STUDIOS, LLC",2015,2,0,0.00%
"FBN Team,BDG Studios",Unavailable data,3,0,0.00%
FCS - Football Team,2017,3,0,0.00%
FIREBEAST,2016,2,0,0.00%
FIVE-BN GAMES,2015,9,0,0.00%
FIVE-BN GAMES,2016,18,0,0.00%
FIVE-BN GAMES,2017,9,0,0.00%
FIVE12 GAMES LTD,2017,4,0,0.00%
"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013,2,0,0.00%
"FK Digital,Arc System Works",2017,1,0,0.00%
"FK Digital,Flyhigh Works",2016,4,0,0.00%
FLAT12,2016,8,0,0.00%
FLEB,2016,1,0,0.00%
FLYNET STUDIOS,2016,3,0,0.00%
FNGames,2013,2,0,0.00%
FOAM Entertainment,2016,3,0,0.00%
"FOO VR, Inc.",2017,2,0,0.00%
FRENCH-BREAD,2016,2,0,0.00%
FS FlightControl,2017,6,0,0.00%
FS2Crew,2015,1,0,0.00%
FS2Crew,2017,1,0,0.00%
FSAddon Publishing,2015,1,0,0.00%
FSDG Online,2015,1,0,0.00%
FSDG Online,2016,4,0,0.00%
FUN Creators,2014,3,0,0.00%
FURYU Coporation,2017,2,0,0.00%
FURYU Corporation,2017,28,0,0.00%
FX Bilodeau,2017,3,0,0.00%
FX Games,2017,3,0,0.00%
FX Games Media,2016,3,0,0.00%
FYRE Games,2016,4,0,0.00%
Fabian Jarrett,2015,2,0,0.00%
Fabio Biancarelli,2017,2,0,0.00%
Fabio Cunha,2017,4,0,0.00%
Fabio Ferrara,2014,3,0,0.00%
Fabio Ferrara,2016,11,0,0.00%
Fabio Ferrara,2017,1,0,0.00%
"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",2016,2,0,0.00%
"Fabio Ferrara,Fabio Mosca,Giulia Airoldi",2016,6,0,0.00%
"Fabio Ferrara,Giulia Airoldi",2015,5,0,0.00%
"Fabio Ferrara,Giulia Airoldi",2016,2,0,0.00%
Fabraz,2015,2,0,0.00%
Fabraz,2017,9,0,0.00%
Fabricated Reality Software,2017,3,0,0.00%
Fabrice BIZEC,2017,3,0,0.00%
Fabrik Games Ltd,2016,2,0,0.00%
Faceless Studios,2017,4,0,0.00%
Facepunch Studios,2006,2,0,0.00%
Facepunch Studios,2013,6,0,0.00%
"Factor 5,LucasArts",1998,2,0,0.00%
Factus Games,2017,4,0,0.00%
"Facundo Balboa,Iván Piccione,Martín Díaz",2017,3,0,0.00%
Fade Away,2017,3,0,0.00%
Fading Club,2016,3,0,0.00%
Failbetter Games,2015,3,0,0.00%
Failbetter Games,2016,3,0,0.00%
Failbetter Games,2017,4,0,0.00%
Fair Games,2017,2,0,0.00%
Fair Play Labs,2015,4,0,0.00%
"Fair Weather Studios, LLC",2016,1,0,0.00%
"Fair Weather Studios, LLC",2017,1,0,0.00%
Fairytale Distillery,2017,13,0,0.00%
Fakedice,2016,3,0,0.00%
Fakt Software,2005,4,0,0.00%
Fakt Software,2008,4,0,0.00%
Fakt Software,2009,2,0,0.00%
Fakt Software,2011,8,0,0.00%
Fakt Software,2012,6,0,0.00%
Fakt Software,2013,2,0,0.00%
Fakt Software,2014,4,0,0.00%
Fakt Software,2015,2,0,0.00%
Fakt Software,2016,2,0,0.00%
Falco Software,2017,3,0,0.00%
Falcon Development,2017,20,0,0.00%
Falcoware,2017,7,0,0.00%
Falkrus,2017,3,0,0.00%
Fallen Snow Studios,2016,3,0,0.00%
Fallen Snow Studios,2017,3,0,0.00%
Fallen Tree Games Ltd,2015,5,0,0.00%
Fallen Tree Games Ltd,2016,4,0,0.00%
FallenMaster,2015,2,0,0.00%
Falling Star Games,2016,4,0,0.00%
Falling Star Studio,2017,8,0,0.00%
FamishedMammal,2016,4,0,0.00%
FanPlymouth,2017,4,0,0.00%
"Fancy Bytes, Reactor",2014,1,0,0.00%
"Fancy Bytes, Reactor",2015,11,0,0.00%
"Fancy Bytes,Reactor",2017,2,0,0.00%
Fancy Factory,2017,3,0,0.00%
Fancy Fish Games,2015,21,0,0.00%
Fancy Fish Games,2017,4,0,0.00%
FantaBlade Network,2016,7,0,0.00%
FantaBlade Network,2017,4,0,0.00%
Fantasia Studio,2017,3,0,0.00%
"Fantasia Studio,Ray丶",2017,3,0,0.00%
Fantasy Flight Games,2014,2,0,0.00%
Fantasy Flight Games,2015,1,0,0.00%
Fantasy Flight Games,2016,8,0,0.00%
Fantasy Flight Games,2017,6,0,0.00%
"Fantasy Flight Publishing, Inc.",2011,3,0,0.00%
Fantogame,2016,2,0,0.00%
"FantomenK,BubblePipeMedia",2016,3,0,0.00%
"Far East War Development Team,Relic",2013,3,0,0.00%
"Far East War Development Team,Relic",2016,3,0,0.00%
Far Mills,2016,2,0,0.00%
Far Mills,2017,4,0,0.00%
"Far Mills,Mysterytag",2016,3,0,0.00%
Far-off Daydream Games,2018,2,0,0.00%
FarBox Games,2017,4,0,0.00%
FarSight Studios,2013,14,0,0.00%
FarSight Studios,2014,4,0,0.00%
FarSight Studios,2015,4,0,0.00%
FarSight Studios,2016,4,0,0.00%
FarSight Studios,2017,4,0,0.00%
"FarSight Studios, Inc.",2016,22,0,0.00%
"FarSight Studios, Inc.",2017,2,0,0.00%
FarSpace Studios,2015,3,0,0.00%
"FarSpace Studios,Andrew Lloyd",2015,1,0,0.00%
Faravid Interactive,2014,2,0,0.00%
Faria,2016,3,0,0.00%
Faris Mohammed,2015,1,0,0.00%
Farjay.com,2016,4,0,0.00%
Farlight Games Industry,2015,4,0,0.00%
FarmerGnome,2015,4,0,0.00%
FarrugiaSoft,2015,6,0,0.00%
Farsky Interactive,2014,2,0,0.00%
Farsky Interactive,2016,4,0,0.00%
Fascimania,2014,2,0,0.00%
Fascimania,2016,6,0,0.00%
Fasold Games,2017,6,0,0.00%
Fast Fall Studios,2017,4,0,0.00%
Fast Forward Games,2016,8,0,0.00%
FastRam Design,2016,1,0,0.00%
FastRolling,2017,2,0,0.00%
Fastbird Dev Studio,2017,5,0,0.00%
Fastermind Games,2015,1,0,0.00%
Fastermind Games,2016,3,0,0.00%
Fastermind Games,2017,3,0,0.00%
Fastermind Games,Unavailable data,3,0,0.00%
Fastline Simulation,2015,13,0,0.00%
Fastline Simulation,2016,8,0,0.00%
Fat Bomb Studios,2017,3,0,0.00%
Fat Loot Games,2015,5,0,0.00%
Fat Panda Games,2016,6,0,0.00%
Fat Walrus Games,2016,1,0,0.00%
Fatalitech,2017,4,0,0.00%
"Fatbard,Boncho Games (made the game)",2016,2,0,0.00%
"Fatbot Games, s. r. o.",2017,4,0,0.00%
Fatih KAYA,2017,6,0,0.00%
Faton,2013,2,0,0.00%
Faton,2014,2,0,0.00%
Faton,2016,4,0,0.00%
Fatshark,2010,1,0,0.00%
Fatshark,2011,9,0,0.00%
Fatshark,2012,15,0,0.00%
Fatshark,2014,1,0,0.00%
Fatshark,2015,5,0,0.00%
Fatshark,2016,11,0,0.00%
Fatshark,2017,16,0,0.00%
Faultline Games,2014,3,0,0.00%
Faux-Operative Games,2017,13,0,0.00%
Fayju,2014,3,0,0.00%
Fazan,2016,3,0,0.00%
Fazz Brothers,2017,2,0,0.00%
FeatherFan,2017,2,0,0.00%
Fedor Votrin,2016,2,0,0.00%
Fedora Collective,2017,6,0,0.00%
Fedorov Ilya &amp; Andrew Konovalov,2017,5,0,0.00%
FeelThere,2015,1,0,0.00%
FeelThere,2016,4,0,0.00%
FeelThere,2017,40,0,0.00%
"Fei,Leo,Yang",2017,4,0,0.00%
Feline Fuelled Games,2017,6,0,0.00%
Felip Guimerà,2016,11,0,0.00%
Felip Guimerà,2017,3,0,0.00%
Felipe Nicolazzi,2017,6,0,0.00%
Felix Nickles,2017,2,0,0.00%
Felix Schröder,2017,3,0,0.00%
Felix Wunderlich,2015,3,0,0.00%
Felix Wunderlich,2016,6,0,0.00%
Fenix Fire Entertainment,2016,5,0,0.00%
Fenrir Studios,2015,5,0,0.00%
Feperd Games,2017,1,0,0.00%
FergaTroid Studios,2016,3,0,0.00%
Fermenter Games,2014,2,0,0.00%
Fermenter Games,2016,3,0,0.00%
Fermenter Games,2017,2,0,0.00%
Fernando Cordoba,2016,8,0,0.00%
"Fernando Ramallo,David Kanaga",2015,1,0,0.00%
Ferocity 2D,2016,2,0,0.00%
Ferullo Gaming,2017,4,0,0.00%
Fervent,2015,4,0,0.00%
Fervent,2016,4,0,0.00%
Feudant Interactive Inc.,Unavailable data,5,0,0.00%
Fever Pitch Studios,2001,1,0,0.00%
Fewjix,2017,1,0,0.00%
Fictiorama Studios,2015,4,0,0.00%
Fiddlesticks Games,2016,4,0,0.00%
Field of View CE,2017,3,0,0.00%
Fifth Dimension Company,2016,4,0,0.00%
"Figurehead Studios,CRASS Studios",2017,3,0,0.00%
Filament Games,2013,4,0,0.00%
Filament Games,2014,3,0,0.00%
Filimundus,2015,1,0,0.00%
"Filip Dusek, Empty Keys",2017,4,0,0.00%
"Filip Victor,Valve",2015,3,0,0.00%
Filippo Ceffa,2016,2,0,0.00%
Final Boss Entertainment,2014,4,0,0.00%
Final Form Games,2011,6,0,0.00%
Final Game Studio,2017,3,0,0.00%
Finalboss game studio,2015,4,0,0.00%
Finalspark Gamestudios,2015,2,0,0.00%
Fingertip Games UK,2015,3,0,0.00%
Finish Line Games,2016,4,0,0.00%
"Finji,Kittehface Software",2015,2,0,0.00%
Finn Morgan,2012,2,0,0.00%
FiolaSoft Studio,2015,12,0,0.00%
FiolaSoft Studio,2016,4,0,0.00%
Firaxis,2013,2,0,0.00%
Firaxis,2017,3,0,0.00%
Firaxis Games,2001,1,0,0.00%
Firaxis Games,2005,2,0,0.00%
Firaxis Games,2006,1,0,0.00%
Firaxis Games,2007,1,0,0.00%
Firaxis Games,2008,1,0,0.00%
Firaxis Games,2013,2,0,0.00%
Firaxis Games,2014,1,0,0.00%
Firaxis Games,2015,1,0,0.00%
"Firaxis Games,Aspyr (Mac and Linux)",2013,2,0,0.00%
"Firaxis Games,Aspyr (Mac, Linux)",2010,7,0,0.00%
"Firaxis Games,Aspyr (Mac, Linux)",2011,5,0,0.00%
"Firaxis Games,Aspyr (Mac, Linux)",2012,1,0,0.00%
"Firaxis Games,Aspyr (Mac, Linux)",2013,1,0,0.00%
"Firaxis Games,Aspyr (Mac, Linux)",2014,1,0,0.00%
"Firaxis Games,Aspyr (Mac, Linux)",2015,1,0,0.00%
"Firaxis Games,Feral Interactive (Mac)",2006,1,0,0.00%
"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012,3,0,0.00%
"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2013,1,0,0.00%
"Firaxis,Aspyr (Mac, Linux)",2016,3,0,0.00%
"Firaxis,Aspyr (Mac, Linux)",2017,2,0,0.00%
"Firaxis,Feral Interactive (Linux),Feral Interactive (Mac)",2016,1,0,0.00%
"Firaxis,Feral Interactive (Mac and Linux)",2016,3,0,0.00%
"Firaxis,Feral Interactive (Mac),Feral Interactive (Linux)",2016,2,0,0.00%
"Firaxis,Feral Interactive (Mac),Feral Interactive (Linux)",2017,1,0,0.00%
Fire Engrave,2017,1,0,0.00%
Fire Face Corporation,2016,2,0,0.00%
"Fire Face Corporation,Adult Swim Games",2016,2,0,0.00%
Fire Hose Games,2013,6,0,0.00%
Fire Tap Games,2017,2,0,0.00%
FireBurnGames,2017,5,0,0.00%
FireFly Studios,2001,2,0,0.00%
FireFly Studios,2002,2,0,0.00%
FireFly Studios,2009,3,0,0.00%
FireFly Studios,2012,8,0,0.00%
FireFly Studios,2014,2,0,0.00%
FireFly Studios,2015,12,0,0.00%
FireFly Studios,2017,5,0,0.00%
"FireFly Studios,Firaxis Games",2006,1,0,0.00%
FireForge Games,2016,4,0,0.00%
Fireballed Studio,2017,1,0,0.00%
Firebase Industries Ltd.,2014,4,0,0.00%
Firebrand Games,2013,2,0,0.00%
Firebrush Studios,2016,3,0,0.00%
Firedance Games,2013,4,0,0.00%
Firedog Creative Company Limited,2017,2,0,0.00%
Fireglow,2001,1,0,0.00%
Fireglow,2002,1,0,0.00%
Fireglow,2007,1,0,0.00%
Firehawk Studios,2016,5,0,0.00%
Firemint,2010,2,0,0.00%
Fireproof Games,2014,2,0,0.00%
Fireproof Games,2016,2,0,0.00%
Firestorm Entertainment,2017,4,0,0.00%
First Class Simulations,2015,8,0,0.00%
First Class Simulations,2017,2,0,0.00%
First Games Interactive,2016,6,0,0.00%
First Games Interactive,2017,3,0,0.00%
FirstForever,2015,2,0,0.00%
FirstForever Studios,2015,5,0,0.00%
Fishcow Studio,2013,2,0,0.00%
Fishcow Studio,2017,4,0,0.00%
"Fisher Wagg,Simon Wagg,Aaron Taylor",2017,3,0,0.00%
Fishing Cactus,2016,6,0,0.00%
Fishing Cactus,2017,1,0,0.00%
Fishing Planet LLC,2015,12,0,0.00%
Fishing Planet LLC,2016,40,0,0.00%
Fishing Planet LLC,2017,76,0,0.00%
Fishlabs Entertainment GmbH,2012,4,0,0.00%
Fishmoose Interactive,2017,8,0,0.00%
Fistful of Frags Team,2014,3,0,0.00%
Fivang,2015,6,0,0.00%
Five Archers Games,2014,1,0,0.00%
Five Archers Games,2015,3,0,0.00%
Five Cubed,2015,4,0,0.00%
Five entertainment,2017,2,0,0.00%
Fiveamp,2017,3,0,0.00%
Fixer Games,2017,3,0,0.00%
Fixpoint Productions Ltd.,2014,6,0,0.00%
Flame Spirit Software Studio,2016,4,0,0.00%
Flamebait Games,2017,3,0,0.00%
"Flaming Bat Studios,Bareware Studios",2017,4,0,0.00%
Flaming Pumpkin Ltd,2015,3,0,0.00%
Flamy Frog Interactive,2016,2,0,0.00%
Flamy Frog Interactive,2017,2,0,0.00%
FlashBack media,2017,6,0,0.00%
"Flashback Games,The Lordz Games Studio",2011,3,0,0.00%
"Flashback Games,The Lordz Games Studio",2012,3,0,0.00%
"Flashback Games,The Lordz Games Studio",2013,1,0,0.00%
"Flashback Games,The Lordz Games Studio",2014,1,0,0.00%
"Flashback Games,The Lordz Games Studio",2015,6,0,0.00%
"Flashback Games,The Lordz Games Studio",2016,7,0,0.00%
"Flashpoint Studios,Nightdive Studios",1994,1,0,0.00%
Flat Earth Games,2014,1,0,0.00%
"Flat Earth Games,Epiphany Games",2015,3,0,0.00%
Flat Software,2012,2,0,0.00%
Flat Software,2014,2,0,0.00%
Flat Voxel,2015,2,0,0.00%
FlatCircle,2017,3,0,0.00%
FlatRedBall,2016,6,0,0.00%
Flatbox Studios,2016,6,0,0.00%
Flatline games,2015,2,0,0.00%
Fledermaus,2014,3,0,0.00%
Flenx,2015,2,0,0.00%
Fletcher's Games,2016,3,0,0.00%
FlexileStudio,2015,4,0,0.00%
Flight Systems,2017,2,0,0.00%
FlightSoft,2017,1,0,0.00%
Flightless,2015,4,0,0.00%
FlipSwitch Games,2016,8,0,0.00%
Flippfly LLC,2015,6,0,0.00%
Flix Interactive,2015,5,0,0.00%
"Flo Knödl,Johannes Fischer,Michael Hütter,Christoph Müller,Simon Eberl,Thomas Kern,Lukas Schönwiese",2017,4,0,0.00%
Floating Island Games,2017,3,0,0.00%
Floor59Games,2016,2,0,0.00%
Florent Vieillescazes,2017,4,0,0.00%
Flow Combine,2014,4,0,0.00%
Flox Studios Ltd.,2016,9,0,0.00%
Fluffex Studios,2017,2,0,0.00%
Fluffy Kitten Studios,2015,12,0,0.00%
Fluffy Kitten Studios,2016,4,0,0.00%
Fluik Entertainment Inc,2016,3,0,0.00%
Flump Studios,2013,1,0,0.00%
Flump Studios,2014,2,0,0.00%
Flump Studios,2015,6,0,0.00%
Flump Studios,2016,2,0,0.00%
Fly System,2014,2,0,0.00%
FlyAnvil,2016,5,0,0.00%
FlySimWare,2016,3,0,0.00%
FlySimWare,2017,1,0,0.00%
Flying Cafe for Semianimals,2015,4,0,0.00%
Flying Carpets Games,2016,8,0,0.00%
"Flying Fire, LLC",2017,6,0,0.00%
Flying Helmet Games,2016,8,0,0.00%
Flying Helmet Games,2017,4,0,0.00%
Flying Kiwi,2017,2,0,0.00%
Flying Mollusk,2016,2,0,0.00%
Flying Mollusk,2017,2,0,0.00%
"Flying Mollusk, LLC",2015,2,0,0.00%
Flying Oak Games,2016,6,0,0.00%
Flying Rain,2017,1,0,0.00%
Flying Robot Studios,2017,4,0,0.00%
Flying Wild Hog,2012,3,0,0.00%
Flying Wild Hog,2013,2,0,0.00%
Flying Wild Hog,2014,4,0,0.00%
Flying Wild Hog,2016,8,0,0.00%
Flying Wild Hog,2017,4,0,0.00%
Flying. Stone. Production,2017,4,0,0.00%
Flyleap Studios,2016,4,0,0.00%
Flyleap Studios,2017,6,0,0.00%
Flyleap Studios Pty. Ltd.,2013,4,0,0.00%
FlynnFour Games,2017,3,0,0.00%
Flynns Arcade,2016,3,0,0.00%
Flynns Arcade,2017,6,0,0.00%
FobTi interactive,2014,2,0,0.00%
FobTi interactive,2016,2,0,0.00%
Focus Home Interactive,2013,1,0,0.00%
Focus Home Interactive,2015,2,0,0.00%
Focus Multimedia,2016,4,0,0.00%
Foggybus,2016,3,0,0.00%
Fold Up Studios,2017,3,0,0.00%
FomoonSoft,2017,3,0,0.00%
Foolish Mortals Games,2017,5,0,0.00%
"Foot in the Box, LLC",2015,2,0,0.00%
"Footmade,Dagestan Technology",2015,2,0,0.00%
For All To Play,2014,6,0,0.00%
For All To Play,2016,4,0,0.00%
For Kids,2017,44,0,0.00%
Forbes  Consult Ltd,2015,3,0,0.00%
Forbes Consult Ltd,2015,6,0,0.00%
Force Of Habit,2014,4,0,0.00%
Forceight,2016,2,0,0.00%
Forcequitapplicatons,2015,4,0,0.00%
Foremost Games,2017,3,0,0.00%
ForepawSoft,2014,4,0,0.00%
ForepawSoft,2016,4,0,0.00%
Forever Entertainment S. A.,2013,2,0,0.00%
Forever Entertainment S. A.,2014,20,0,0.00%
Forever Entertainment S. A.,2015,20,0,0.00%
Forever Entertainment S. A.,2016,6,0,0.00%
Forever Entertainment S. A.,2017,3,0,0.00%
Forever Interactive Inc.,Unavailable data,5,0,0.00%
"ForeverBound,Valiant,RollingFacade",2015,3,0,0.00%
Forge Reply,2013,1,0,0.00%
Forge Reply srl,2014,3,0,0.00%
Forge Reply srl,2015,2,0,0.00%
Forgotten Games,2016,2,0,0.00%
Forgotten Key,2017,5,0,0.00%
Fork Particle Games,2016,3,0,0.00%
Format,2017,7,0,0.00%
Formosoft International,2015,1,0,0.00%
Formslingers,2017,4,0,0.00%
Forrest Keel,2016,2,0,0.00%
Forte Sounds,2014,2,0,0.00%
Forthright Casual Games,2016,5,0,0.00%
"Forthright Casual Games,Beyond-Limits-Games",2015,3,0,0.00%
Forthright Entertainment,2016,4,0,0.00%
"Fortress Forever Development Team,Trepid Studios",2007,3,0,0.00%
Forward Instinct,2017,2,0,0.00%
Fosfatina Ediciones,2017,2,0,0.00%
Four Circle Interactive,2014,2,0,0.00%
Four Circle Interactive,2016,2,0,0.00%
Four Eyes Productions,2016,2,0,0.00%
Four Lights,2014,2,0,0.00%
Four Lights,2015,4,0,0.00%
Four Mans Games L.L.C.,2016,3,0,0.00%
Four Quarters,2015,4,0,0.00%
Four Winged Studio,2016,8,0,0.00%
FourbitFriday,2015,4,0,0.00%
Fourfold Games,2017,5,0,0.00%
Fowers Games,2017,2,0,0.00%
Fox Dawn,2016,1,0,0.00%
Foxie Games,2017,16,0,0.00%
Foxwarrior Productions,Unavailable data,2,0,0.00%
"Fractal Box,Moving Player",2016,4,0,0.00%
Fractal Phase,2017,5,0,0.00%
Fragment Production Ltd,2014,1,0,0.00%
Fragment Production Ltd.,2015,2,0,0.00%
FrameLineNetwork,2015,1,0,0.00%
FrameLineNetwork,2016,5,0,0.00%
FrameLineNetwork Kft.,2014,2,0,0.00%
Francesco Pellaco,2016,3,0,0.00%
Francesco Trovato,2016,2,0,0.00%
Francois Braud (Volatile Dove),2016,2,0,0.00%
Francois Roussel,2016,3,0,0.00%
Frank J Sudol,2017,2,0,0.00%
Frank Lucas,2016,6,0,0.00%
"FranticDreamer,SpoNk",2017,3,0,0.00%
Fraoula,2016,2,0,0.00%
FreakZone Games,2013,3,0,0.00%
FreakZone Games,2015,3,0,0.00%
FreakZone Games,2016,6,0,0.00%
FreakZone Games,2017,2,0,0.00%
Freakinware Limited,2016,3,0,0.00%
Freakinware Studios,2015,2,0,0.00%
Freakinware Studios,2016,2,0,0.00%
Fred Ells,2018,1,0,0.00%
Fred Wood,2014,2,0,0.00%
Fred Wood,2017,4,0,0.00%
"Fred Wood,James Bennett",2015,2,0,0.00%
Frederik Holst,2017,2,0,0.00%
"Free Games Info,hyperboreanGames",2016,4,0,0.00%
Free Lives,2014,4,0,0.00%
Free Lives,2015,8,0,0.00%
Free Lives,2016,3,0,0.00%
Free Range Games,2016,5,0,0.00%
Free Range Games,2017,4,0,0.00%
Free Reign Entertainment,2015,4,0,0.00%
Free Time Farmers,2017,2,0,0.00%
Freebird Games,2011,3,0,0.00%
Freebird Games,2012,1,0,0.00%
Freebird Games,2014,6,0,0.00%
Freebird Games,2015,9,0,0.00%
Freebird Games,2017,3,0,0.00%
Freebird Games,2021,3,0,0.00%
Freedom Factory,2014,2,0,0.00%
Freedomize Studio,2016,2,0,0.00%
Freedomize Studio,2017,4,0,0.00%
Freegamer,2007,2,0,0.00%
Freegamer,2014,2,0,0.00%
Freehold Games,2014,3,0,0.00%
Freehold Games,2015,8,0,0.00%
Freejam,2016,24,0,0.00%
Freejam,2017,6,0,0.00%
Freekstorm,2017,2,0,0.00%
"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",1999,1,0,0.00%
"Freeze Tag Inc.,iQ212",2009,1,0,0.00%
FreezeNova,2016,8,0,0.00%
FreezeNova,2017,11,0,0.00%
Frere d'Arme,2016,3,0,0.00%
Fresh3D,2014,3,0,0.00%
"FreshGem,Zillion Whales",2015,5,0,0.00%
Freshly Squeezed,2016,3,0,0.00%
"Freshly Squeezed,Joel Forssell",2016,3,0,0.00%
Freshtrax,2017,3,0,0.00%
Freshtrax,2018,3,0,0.00%
Frictional Games,2007,3,0,0.00%
Frictional Games,2009,3,0,0.00%
Frictional Games,2010,3,0,0.00%
Frictional Games,2015,3,0,0.00%
Friendly Cactus,2016,2,0,0.00%
Friendly Cactus,2017,2,0,0.00%
Frima,2009,3,0,0.00%
Frima Studio,2013,3,0,0.00%
Frima Studio,2014,4,0,0.00%
Frima Studio,2015,2,0,0.00%
Frima Studio,2016,2,0,0.00%
Frisky Fatal Games,2016,2,0,0.00%
Frismos,2017,4,0,0.00%
Frizzank,2017,3,0,0.00%
Frog the Door Games,2017,1,0,0.00%
Frogames,2008,6,0,0.00%
Frogames,2016,3,0,0.00%
Frogames,2017,1,0,0.00%
Frogdice,2014,10,0,0.00%
Frogdice,2017,15,0,0.00%
Frogmind,2015,6,0,0.00%
Frogshark,2016,6,0,0.00%
Frogsong Studios AB,2015,3,0,0.00%
Frogwares,2003,1,0,0.00%
Frogwares,2004,1,0,0.00%
Frogwares,2008,5,0,0.00%
Frogwares,2009,2,0,0.00%
Frogwares,2012,1,0,0.00%
Frogwares,2013,2,0,0.00%
Frogwares,2014,1,0,0.00%
Frogwares,2016,4,0,0.00%
Frolov Pavel,2017,2,0,0.00%
From Earth Team,2016,3,0,0.00%
From Nothing Game Studios,2015,4,0,0.00%
From Soy Sauce LLC,2010,2,0,0.00%
From Soy Sauce LLC,2012,3,0,0.00%
From Soy Sauce LLC,2015,8,0,0.00%
From Soy Sauce LLC,2016,4,0,0.00%
From The Bard,2016,4,0,0.00%
From The Bard,2017,2,0,0.00%
FromSoftware,2009,1,0,0.00%
FromSoftware,2012,2,0,0.00%
"FromSoftware, Inc",2014,10,0,0.00%
"FromSoftware, Inc",2015,2,0,0.00%
"FromSoftware, Inc.",2016,2,0,0.00%
"FromSoftware, Inc.",2017,1,0,0.00%
"FromSoftware, Inc.",Unavailable data,1,0,0.00%
Frontier,2007,5,0,0.00%
Frontier Developments,2016,40,0,0.00%
Frontier Developments,2017,10,0,0.00%
Frontier Works,2014,2,0,0.00%
Frontier Works,2015,2,0,0.00%
"Frontier,Aspyr (Mac)",2006,2,0,0.00%
Frontwing,2015,6,0,0.00%
Frontwing,2016,3,0,0.00%
Frontwing,2017,7,0,0.00%
"Frontwire Studios, LLC",Unavailable data,5,0,0.00%
Frost Earth Studio,2014,3,0,0.00%
Frost Studios,2017,4,0,0.00%
Frostbullet,2017,4,0,0.00%
Frostcloud Studios,2015,4,0,0.00%
Frostflake Studios,2017,3,0,0.00%
Frostkeep Studios,Unavailable data,6,0,0.00%
Frozen District,2015,3,0,0.00%
Frozen Flame,2016,3,0,0.00%
Frozen Flame,2017,3,0,0.00%
Frozen Orb,2015,2,0,0.00%
Frozen Rose,2017,3,0,0.00%
Frozen Yak Entertainment,2014,3,0,0.00%
"FrozenCrate, LLC",2017,3,0,0.00%
FrozenPepper,2017,6,0,0.00%
FrozenPepper S.R.L,2017,51,0,0.00%
Frozenbyte,2006,1,0,0.00%
Frozenbyte,2007,1,0,0.00%
Frozenbyte,2009,3,0,0.00%
Frozenbyte,2013,3,0,0.00%
Frozenbyte,2015,3,0,0.00%
Frozenbyte,2016,2,0,0.00%
Frozenbyte,2017,6,0,0.00%
Frozenmark Games,2016,3,0,0.00%
Frudelsoft,2016,3,0,0.00%
Frymore,2017,4,0,0.00%
