release_year,sentiment_analysis,developer
2015,0,Treyarch
2015,1,Introversion Software
2015,1,Introversion Software
2015,1,Introversion Software
2012,1,Valve
2012,2,Valve
2014,1,AMPLITUDE Studios
2014,1,AMPLITUDE Studios
2014,1,AMPLITUDE Studios
2014,1,AMPLITUDE Studios
2013,2,Rovio Entertainment Ltd
2013,2,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2012,1,Treyarch
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Edmund McMillen and Florian Himsl
2011,1,Edmund McMillen and Florian Himsl
2011,1,Edmund McMillen and Florian Himsl
2011,1,Edmund McMillen and Florian Himsl
2012,1,Ronimo Games
2012,1,Ronimo Games
2012,1,Ronimo Games
2012,1,Ronimo Games
2012,2,"TaleWorlds Entertainment,Flying Squirrel Entertainment"
2012,2,"TaleWorlds Entertainment,Flying Squirrel Entertainment"
2017,1,Hinterland Studio Inc.
2017,1,Hinterland Studio Inc.
2017,1,Hinterland Studio Inc.
2017,1,Hinterland Studio Inc.
2012,1,Valve
2012,2,Opus
2012,2,Opus
2012,2,Opus
2010,1,Obsidian Entertainment
2010,1,Obsidian Entertainment
2015,0,HyperSloth
2015,0,HyperSloth
2014,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2014,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2017,1,Plethora-Project LLC
2017,1,Plethora-Project LLC
2017,1,Plethora-Project LLC
2014,2,David OReilly
2014,2,David OReilly
2014,2,David OReilly
2014,2,David OReilly
2007,1,Valve
2007,1,Valve
2013,2,"Hopoo Games, LLC"
2013,2,"Hopoo Games, LLC"
2013,2,"Hopoo Games, LLC"
2007,2,Valve
2007,2,Valve
2012,2,FromSoftware
2012,2,FromSoftware
2007,1,Valve
2007,1,Valve
2007,1,Valve
2007,1,Valve
2013,1,"Redlynx Ltd,Ubisoft  Shanghaï"
2013,1,"Redlynx Ltd,Ubisoft  Shanghaï"
2013,2,The Men Who Wear Many Hats
2013,2,The Men Who Wear Many Hats
2014,0,"Sledgehammer Games,Raven Software"
2015,1,Radical Fish Games
2015,1,Radical Fish Games
2007,1,Valve
2007,1,Valve
2012,1,Valve
2015,2,Lag Studios
2015,2,Lag Studios
2015,2,Lag Studios
2015,2,Lag Studios
2014,1,Fistful of Frags Team
2014,1,Fistful of Frags Team
2014,1,Fistful of Frags Team
2014,1,Obsidian Entertainment
2014,1,Obsidian Entertainment
2014,1,Obsidian Entertainment
2006,2,Facepunch Studios
2006,2,Facepunch Studios
2012,1,Valve
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2011,1,Grey Havens
2011,1,Grey Havens
2011,1,Grey Havens
2011,1,Grey Havens
2011,1,Grey Havens
2011,1,Grey Havens
2011,1,Valve
2011,1,Valve
2011,2,Playdead
2011,2,Playdead
2012,2,Valve
2012,2,Valve
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2017,2,Hinterland Studio Inc.
2017,2,Hinterland Studio Inc.
2017,2,Hinterland Studio Inc.
2017,2,Hinterland Studio Inc.
2009,1,Paradox Development Studio
1998,1,Humongous Entertainment
1998,1,Humongous Entertainment
2011,1,Arrowhead Game Studios
2011,1,Arrowhead Game Studios
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2016,1,Green Lava Studios
2016,1,Green Lava Studios
2009,1,DICE
2009,1,DICE
2012,1,Valve
2006,1,Valve
2011,1,OVERDRIVE
2012,1,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2012,1,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2012,2,FireFly Studios
2012,2,FireFly Studios
2012,2,FireFly Studios
2014,2,Vagabond Dog
2014,2,Vagabond Dog
2013,1,Traveller's Tales
2013,1,Traveller's Tales
2012,2,Muse Games
2012,2,Muse Games
2012,2,Muse Games
2012,2,Muse Games
2009,1,Dovetail Games
2007,1,Valve
2007,1,Valve
2015,1,Free Reign Entertainment
2015,1,Free Reign Entertainment
2015,1,Free Reign Entertainment
2015,1,Free Reign Entertainment
2014,2,SmashGames
2014,2,SmashGames
2014,2,SmashGames
2014,2,SmashGames
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2007,1,Valve
2007,1,Valve
2012,2,Daybreak Game Company
2012,2,Daybreak Game Company
2012,2,Daybreak Game Company
2012,1,Valve
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2014,1,GamePrix
2014,1,GamePrix
2014,1,GamePrix
2014,1,GamePrix
2014,1,GamePrix
2014,1,GamePrix
2014,1,GamePrix
2015,1,Twice Circled
2015,1,Twice Circled
2015,1,Twice Circled
2013,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2007,2,Valve
2007,2,Valve
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2012,1,Runic Games
2012,1,Runic Games
2012,1,Runic Games
2012,1,Runic Games
2015,1,Zero Sum Games
2015,1,Zero Sum Games
2014,1,Double Fine Productions
2014,1,Double Fine Productions
2014,1,Double Fine Productions
2016,1,Daniel Mullins Games
2013,1,OVERKILL - a Starbreeze Studio.
2013,1,OVERKILL - a Starbreeze Studio.
2013,1,Abbey Games
2013,1,Abbey Games
2013,1,Abbey Games
2012,2,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2012,2,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2007,2,Valve
2007,2,Valve
2014,1,"SkyBox Labs,Big Huge Games"
2014,1,"SkyBox Labs,Big Huge Games"
2015,2,Rocksteady Studios
2015,2,Rocksteady Studios
2007,2,Valve
2007,2,Valve
2013,1,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2013,1,Big Robot Ltd
2013,1,Big Robot Ltd
2011,1,Headup Games / Crenetic
2011,1,Headup Games / Crenetic
2012,1,Valve
2012,1,"Monolith Productions, Inc."
2012,1,"Monolith Productions, Inc."
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2012,2,Dennaton Games
2012,2,Dennaton Games
2015,2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2012,1,Valve
2014,1,Arc System Works
2016,1,SUPERHOT Team
2016,1,SUPERHOT Team
2013,1,"Hopoo Games, LLC"
2013,1,"Hopoo Games, LLC"
2013,1,"Hopoo Games, LLC"
2016,1,Green Lava Studios
2016,1,Green Lava Studios
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2007,1,Valve
2007,1,Valve
2007,1,Valve
2007,1,Valve
2012,1,Arkane Studios
2012,1,Arkane Studios
2010,1,"Firaxis Games,Aspyr (Mac, Linux)"
2010,1,Cryptic Studios
2010,1,Cryptic Studios
2010,1,Cryptic Studios
2012,2,Hardsuit Labs
2012,2,Hardsuit Labs
2007,2,Valve
2007,2,Valve
2012,2,Valve
2014,0,Telltale Games
2012,2,Valve
2015,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,1,Solest Games
2015,1,Solest Games
2015,1,Solest Games
2014,1,Coffee Stain Studios
2014,1,Coffee Stain Studios
2014,1,Coffee Stain Studios
2014,1,Matt Roszak
2014,1,Matt Roszak
2015,1,"Avalanche Studios,Feral Interactive (Mac/Linux)"
2015,1,"Avalanche Studios,Feral Interactive (Mac/Linux)"
2012,2,Valve
2012,1,Valve
2016,0,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita"
2016,0,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita"
2009,1,Bohemia Interactive
2009,1,Bohemia Interactive
2009,1,Bohemia Interactive
2006,2,Relic Entertainment
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2014,1,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
2014,1,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
2012,1,Valve
2007,2,Valve
2007,2,Valve
2015,1,Ubisoft - San Francisco
2015,1,Ubisoft - San Francisco
2015,1,Bethesda Game Studios
2007,2,Valve
2007,2,Valve
2012,1,Valve
2007,1,Valve
2007,1,Valve
2015,1,"Signal Studios,Smart Ghost"
2015,1,"Signal Studios,Smart Ghost"
2015,1,"Signal Studios,Smart Ghost"
2015,1,"Signal Studios,Smart Ghost"
2015,1,"Signal Studios,Smart Ghost"
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2016,1,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2016,1,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2014,2,Telltale Games
2012,2,Valve
2016,1,Edge Case Games Ltd.
2016,1,Edge Case Games Ltd.
2016,1,Edge Case Games Ltd.
2016,1,Edge Case Games Ltd.
2011,1,"Team Bondi,Rockstar Leeds"
2011,1,"Team Bondi,Rockstar Leeds"
2013,1,Double Fine Productions
2013,1,Double Fine Productions
2013,1,Double Fine Productions
2016,1,Klei Entertainment
2016,1,Klei Entertainment
2016,1,Klei Entertainment
2015,1,Tasharen Entertainment Inc.
2015,1,Tasharen Entertainment Inc.
2015,1,Tasharen Entertainment Inc.
2015,1,Tasharen Entertainment Inc.
2012,1,Valve
2011,2,Edmund McMillen and Florian Himsl
2011,2,Edmund McMillen and Florian Himsl
2011,2,Edmund McMillen and Florian Himsl
2011,2,Edmund McMillen and Florian Himsl
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2014,0,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2010,1,Avalanche Studios
2010,1,Avalanche Studios
2013,2,Nadeo
2013,2,Nadeo
2012,2,Valve
2012,2,Valve
2012,1,Valve
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2017,2,Monomi Park
2017,2,Monomi Park
2017,2,Monomi Park
2017,2,Monomi Park
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,FIVE-BN GAMES
2016,1,FIVE-BN GAMES
2016,1,FIVE-BN GAMES
2007,1,Valve
2007,1,Valve
2015,1,Halfbus
2015,1,Halfbus
2015,1,Halfbus
2015,1,Halfbus
2007,1,Valve
2007,1,Valve
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
1998,1,Valve
2014,2,Larian Studios
2014,2,Larian Studios
2014,2,Larian Studios
2014,2,Larian Studios
2015,1,Daniel Davies
2015,1,Daniel Davies
2015,1,Daniel Davies
2015,1,Daniel Davies
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2009,2,Gearbox Software
2009,2,Gearbox Software
2010,1,TaleWorlds Entertainment
2010,1,TaleWorlds Entertainment
2010,1,Cryptic Studios
2010,1,Cryptic Studios
2010,1,Cryptic Studios
2013,2,Transhuman Design
2013,2,Transhuman Design
2015,2,Ubisoft Montreal
2012,1,Valve
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2014,1,Silver Dollar Games
2014,1,Silver Dollar Games
2014,1,Silver Dollar Games
2011,2,Re-Logic
2011,2,Re-Logic
2011,2,Re-Logic
2011,2,Re-Logic
2016,0,PixelTail Games
2016,0,PixelTail Games
2016,0,PixelTail Games
2016,0,PixelTail Games
2016,0,PixelTail Games
2016,0,PixelTail Games
2014,2,Samurai Punk
2014,2,Samurai Punk
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2012,2,Valve
2012,2,Valve
2012,1,Valve
2015,1,tobyfox
2015,1,tobyfox
2014,0,Scott Cawthon
2014,0,Scott Cawthon
2015,2,Bethesda Game Studios
2015,1,Fatshark
2015,1,Fatshark
2007,2,Valve
2007,2,Valve
2015,1,Mouldy Toof Studios
2015,1,Mouldy Toof Studios
2015,1,Mouldy Toof Studios
2015,1,Mouldy Toof Studios
2015,1,Mouldy Toof Studios
2015,1,Colossal Order Ltd.
2015,1,Colossal Order Ltd.
2012,1,Valve
2014,0,Scott Cawthon
2014,0,Scott Cawthon
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2013,1,Hanako Games
2013,1,Hanako Games
2013,1,Hanako Games
2013,1,Hanako Games
2005,1,Rockstar Games
2014,1,Telltale Games
2015,2,Beam Team Games
2015,2,Beam Team Games
2015,2,Beam Team Games
2013,1,Zachtronics
2013,1,Zachtronics
2013,1,Zachtronics
2014,2,VIS - Visual Imagination Software
2014,2,VIS - Visual Imagination Software
2013,1,Priority Interrupt
2013,1,Priority Interrupt
2013,1,Priority Interrupt
2013,1,Priority Interrupt
2013,1,Priority Interrupt
2012,1,Valve
2014,1,Telltale Games
2014,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2014,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2012,0,Valve
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2015,1,"Psyonix, Inc."
2009,2,Valve
2013,2,Treyarch
2013,0,Cellar Door Games
2013,0,Cellar Door Games
2013,0,Cellar Door Games
2014,2,Ragequit Corporation
2014,2,Ragequit Corporation
2012,2,Nexon
2012,2,Nexon
2012,2,Nexon
2012,2,Nexon
2012,2,Nexon
2014,0,Scott Cawthon
2014,0,Scott Cawthon
2012,2,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2012,2,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2013,2,Telltale Games
2007,1,Valve
2007,1,Valve
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2015,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2013,1,Digital Extremes
2013,1,Digital Extremes
2014,1,11 bit studios
2014,1,11 bit studios
2014,1,11 bit studios
2011,1,No More Room in Hell Team
2011,1,No More Room in Hell Team
2011,1,No More Room in Hell Team
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2014,1,New World Interactive
2014,1,New World Interactive
2014,1,New World Interactive
2007,0,Valve
2007,0,Valve
2015,1,"Filip Victor,Valve"
2015,1,"Filip Victor,Valve"
2015,1,"Filip Victor,Valve"
2015,1,Square Enix
2015,1,Square Enix
2015,1,Creative Assembly
2007,1,Valve
2007,1,Valve
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2014,2,New World Interactive
2014,2,New World Interactive
2014,2,New World Interactive
2012,1,Valve
2014,0,"JumpStart Games, Inc."
2014,0,"JumpStart Games, Inc."
2014,0,"JumpStart Games, Inc."
2014,0,"JumpStart Games, Inc."
2011,2,Re-Logic
2011,2,Re-Logic
2011,2,Re-Logic
2011,2,Re-Logic
2016,2,SUPERHOT Team
2016,2,SUPERHOT Team
2007,2,Valve
2007,2,Valve
2006,2,Facepunch Studios
2006,2,Facepunch Studios
2012,1,Valve
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2015,1,tobyfox
2015,1,tobyfox
2015,1,Section Studios
2015,1,Section Studios
2015,1,Section Studios
2015,1,Section Studios
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Red Barrels
2013,1,Red Barrels
2013,1,Red Barrels
2017,1,Trendy Entertainment
2017,1,Trendy Entertainment
2017,1,Trendy Entertainment
2017,1,Trendy Entertainment
2017,1,Trendy Entertainment
2007,2,Valve
2007,2,Valve
2013,2,Telltale Games
2007,1,Valve
2007,1,Valve
2012,2,Nexon
2012,2,Nexon
2012,2,Nexon
2012,2,Nexon
2010,1,Obsidian Entertainment
2010,1,Obsidian Entertainment
2014,1,"Nicalis, Inc."
2015,1,Acid Nerve
2015,1,Acid Nerve
2015,1,Acid Nerve
2013,1,Fullbright
2013,1,Fullbright
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2012,1,Valve
2015,2,Beam Team Games
2015,2,Beam Team Games
2015,2,Beam Team Games
2012,2,Valve
2012,0,Valve
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2015,1,Everything Unlimited Ltd.
2015,1,Everything Unlimited Ltd.
2015,2,Great War Team
2015,2,Great War Team
2015,1,Konami Digital Entertainment
2015,1,Konami Digital Entertainment
2004,2,Valve
2006,1,Deepred
2012,1,"Rocksteady Studios,Feral Interactive (Mac)"
2012,1,"Rocksteady Studios,Feral Interactive (Mac)"
2016,0,Dodge Roll
2016,0,Dodge Roll
2016,0,Dodge Roll
2010,1,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
2009,1,Valve
2013,1,Undead Labs
2013,1,Undead Labs
2013,1,Undead Labs
2015,1,"M2H,Blackmill Games"
2015,1,"M2H,Blackmill Games"
2015,1,"M2H,Blackmill Games"
2011,2,OVERKILL Software
2006,0,Facepunch Studios
2006,0,Facepunch Studios
2014,2,JForce Games
2014,2,JForce Games
2015,2,Johannes Eski
2015,2,Johannes Eski
2015,2,Johannes Eski
2015,2,Johannes Eski
2015,2,Johannes Eski
2013,2,Digital Extremes
2013,2,Digital Extremes
2017,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2013,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2012,1,Valve
2015,1,"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd."
2015,1,"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd."
2015,1,Scott Cawthon
2015,1,Scott Cawthon
2015,1,Scott Cawthon
2007,1,Valve
2007,1,Valve
2015,1,NotGames
2015,1,"Jagex,Artplant"
2015,1,"Jagex,Artplant"
2015,1,"Jagex,Artplant"
2015,1,"Jagex,Artplant"
2013,1,Dragonfly
2013,1,Dragonfly
2014,2,Coffee Stain Studios
2014,2,Coffee Stain Studios
2014,2,Coffee Stain Studios
2017,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2012,2,Valve
2013,1,Telltale Games
2015,1,Rockstar North
2015,1,Rockstar North
2016,2,Edge Case Games Ltd.
2016,2,Edge Case Games Ltd.
2016,2,Edge Case Games Ltd.
2016,2,Edge Case Games Ltd.
2012,2,Torn Banner Studios
2012,2,Torn Banner Studios
2016,1,Tripwire Interactive
2005,2,Firaxis Games
2012,1,Valve
2012,1,Valve
2014,1,Coffee Stain Studios
2014,1,Coffee Stain Studios
2014,1,Coffee Stain Studios
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2014,1,New World Interactive
2014,1,New World Interactive
2014,1,New World Interactive
2016,1,Tripwire Interactive
2012,1,Daybreak Game Company
2012,1,Daybreak Game Company
2012,1,Daybreak Game Company
2015,2,Raven Travel Studios
2015,2,Raven Travel Studios
2015,2,Raven Travel Studios
2013,1,Old School Games
2015,1,Code}{atch
2015,1,Code}{atch
2015,1,Code}{atch
2015,1,Code}{atch
2015,1,Code}{atch
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2015,2,tobyfox
2015,2,tobyfox
2013,1,Star Gem Inc.
2013,1,Star Gem Inc.
2013,1,Star Gem Inc.
2013,1,Star Gem Inc.
2009,0,DICE
2009,0,DICE
2015,2,Erik Asmussen
2015,2,Erik Asmussen
2015,2,Erik Asmussen
2015,1,Beam Team Games
2015,1,Beam Team Games
2015,1,Beam Team Games
2013,1,"Trek Industries, Inc"
2013,1,"Trek Industries, Inc"
2013,1,"Trek Industries, Inc"
2013,1,"Trek Industries, Inc"
2011,2,Re-Logic
2011,2,Re-Logic
2011,2,Re-Logic
2011,2,Re-Logic
2014,1,"Expansive Worlds,Avalanche Studios"
2014,1,"Expansive Worlds,Avalanche Studios"
2014,1,"Expansive Worlds,Avalanche Studios"
2014,1,"Expansive Worlds,Avalanche Studios"
2014,1,"Expansive Worlds,Avalanche Studios"
2006,2,Facepunch Studios
2006,2,Facepunch Studios
2009,0,"Infinity Ward,Aspyr (Mac)"
2015,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2013,1,Orange_Juice
2013,1,Orange_Juice
2012,0,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2012,0,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2007,1,Valve
2007,1,Valve
2012,0,Subset Games
2012,0,Subset Games
2012,0,Subset Games
2012,2,Treyarch
2016,1,Klei Entertainment
2016,1,Klei Entertainment
2016,1,Klei Entertainment
2016,0,Chucklefish
2016,0,Chucklefish
2016,0,Chucklefish
2016,0,Chucklefish
2016,0,Chucklefish
2014,1,"Mediatonic,Hato Moa,The Irregular Corporation"
2014,1,"Mediatonic,Hato Moa,The Irregular Corporation"
2014,1,"Mediatonic,Hato Moa,The Irregular Corporation"
2014,1,11 bit studios
2014,1,11 bit studios
2014,1,11 bit studios
2012,1,Valve
2014,2,Supergiant Games
2014,2,Supergiant Games
2014,2,Supergiant Games
2011,2,Valve
2011,2,Valve
2015,2,Bethesda Game Studios
2013,1,"Trek Industries, Inc"
2013,1,"Trek Industries, Inc"
2013,1,"Trek Industries, Inc"
2013,1,"Trek Industries, Inc"
2010,2,"Firaxis Games,Aspyr (Mac, Linux)"
2006,1,Nabi Studios
2006,1,Nabi Studios
2006,1,Nabi Studios
2006,1,Nabi Studios
2013,1,Suspicious Developments
2013,1,Suspicious Developments
2013,1,Suspicious Developments
2012,1,Core Design
2012,1,Core Design
2012,2,"Big Huge Games,38 Studios"
2012,2,"Big Huge Games,38 Studios"
2013,2,Fullbright
2013,2,Fullbright
2014,1,RobTop Games
2014,1,RobTop Games
2009,2,Radical Entertainment
2009,2,Radical Entertainment
2012,1,Valve
2013,2,No data available
2015,1,Moon Studios GmbH
2017,2,Freejam
2017,2,Freejam
2017,2,Freejam
2017,2,Freejam
2017,2,Freejam
2017,2,Freejam
2014,0,"Sledgehammer Games,Raven Software"
2014,1,"Nicalis, Inc."
2010,1,Valve
2014,1,Coffee Stain Studios
2014,1,Coffee Stain Studios
2014,1,Coffee Stain Studios
2012,2,The Farm 51
2015,1,Rockstar North
2015,1,Rockstar North
2014,2,"Trion Worlds, Inc."
2014,2,"Trion Worlds, Inc."
2014,2,"Trion Worlds, Inc."
2014,2,"Trion Worlds, Inc."
2007,1,Valve
2007,1,Valve
2012,0,FromSoftware
2012,0,FromSoftware
2007,2,Valve
2007,2,Valve
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2012,1,Valve
2012,1,Telltale Games
2012,1,Valve
2016,0,Telltale Games
2015,0,Visual Concepts
2013,1,Ubisoft Montreal
2013,1,Ubisoft Montreal
2009,1,"LucasArts,Aspyr Studios"
2002,2,Pivotal Games
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2015,2,Squad
2015,2,Squad
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2016,1,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2016,1,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2014,0,Full Control
2014,0,Full Control
2014,0,Full Control
2004,1,Valve
2012,0,Ubisoft Montreal
2012,1,Valve
2014,2,"SkyBox Labs,Big Huge Games"
2014,2,"SkyBox Labs,Big Huge Games"
2015,1,Spiderling Studios
2015,1,Spiderling Studios
2015,1,Spiderling Studios
2015,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2005,2,Synergy Team
2005,2,Synergy Team
2005,2,Rockstar Games
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2013,1,Digital Extremes
2013,1,Digital Extremes
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2016,1,Wube Software LTD.
2016,1,Wube Software LTD.
2016,1,Wube Software LTD.
2016,1,Wube Software LTD.
